model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,refinement_name,refinement_reason,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,logged_at,recent_fraction,decay_half_life_days
DecayPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.55,0.45,0.0,session_popularity_refined,interpretable half-life decay,0.2622,0.4046,0.177,0.2231,0.1491,0.1682,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,10.54,"{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:05:07,,0.25
DecayPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.02,0.31,0.0,session_popularity_refined,interpretable half-life decay,0.2622,0.409,0.1604,0.2075,0.1268,0.146,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,10.52,"{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:05:17,,0.5
DecayPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.24,0.42,0.0,session_popularity_refined,interpretable half-life decay,0.2622,0.3872,0.1591,0.1983,0.1252,0.1407,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,11.16,"{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:05:29,,1.0
DecayPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.24,0.39,0.0,session_popularity_refined,interpretable half-life decay,0.2398,0.3734,0.1425,0.1845,0.1106,0.1273,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,10.26,"{""decay_half_life_days"": 3, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:05:39,,3.0
DecayPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.48,0.49,0.0,session_popularity_refined,interpretable half-life decay,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 7, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,11.37,"{""decay_half_life_days"": 7, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:05:50,,7.0
DecayPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.18,0.49,0.0,session_popularity_refined,interpretable half-life decay,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 14, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,12.32,"{""decay_half_life_days"": 14, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:06:03,,14.0
DecayPop,adressa_recbole_sample,cuda,1.0,2048.0,1024.0,1.19,0.49,0.0,session_popularity_refined,interpretable half-life decay,0.2398,0.3734,0.1425,0.1841,0.1106,0.1268,"adressa_recbole_sample::DecayPop::{""decay_half_life_days"": 30, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,13.4,"{""decay_half_life_days"": 30, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:06:16,,30.0
DecayPop,globo_recbole_sample,cuda,1.0,2048.0,1024.0,1.26,0.71,0.0,session_popularity_refined,interpretable half-life decay,0.0,0.0,0.0,0.0,0.0,0.0,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,14.56,"{""decay_half_life_days"": 0.25, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:06:31,,0.25
DecayPop,globo_recbole_sample,cuda,1.0,2048.0,1024.0,1.23,0.69,0.0,session_popularity_refined,interpretable half-life decay,0.0,0.0,0.0,0.0,0.0,0.0,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,12.6,"{""decay_half_life_days"": 0.5, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:06:43,,0.5
DecayPop,globo_recbole_sample,cuda,1.0,2048.0,1024.0,1.34,0.69,0.0,session_popularity_refined,interpretable half-life decay,0.0,0.0109,0.0,0.0036,0.0,0.0015,"globo_recbole_sample::DecayPop::{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",success,,12.4,"{""decay_half_life_days"": 1, ""refinement_name"": ""session_popularity_refined"", ""refinement_reason"": ""interpretable half-life decay""}",2026-06-24T14:06:56,,1.0
