model,dataset,device,epochs,train_batch_size,eval_batch_size,train_runtime_seconds,eval_runtime_seconds,extra_metrics_runtime_seconds,vsknn_k,vsknn_sample_size,hit@5,hit@10,ndcg@5,ndcg@10,mrr@5,mrr@10,run_id,status,error_message,runtime_seconds,config_json,vstan_k,vstan_sample_size,vstan_position_decay,vstan_idf_weighting,hidden_size,learning_rate,dropout_prob,num_layers,loss_type,train_neg_sample_args,window_days,decay_lambda,vsknn_popularity_weight,vstan_popularity_weight
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,252.22,382.91,0.0,,,0.1313,0.2022,0.0846,0.1073,0.0693,0.0785,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,642.91,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",100,100,0.05,True,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,205.77,311.65,0.0,,,0.317,0.3759,0.2436,0.2627,0.2192,0.2271,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,525.28,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",100,100,0.05,False,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,250.31,381.08,0.0,,,0.2667,0.3262,0.206,0.2252,0.1858,0.1937,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,639.43,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",100,100,0.05,False,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,250.37,380.8,0.0,,,0.1472,0.2216,0.0975,0.1214,0.0812,0.091,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",success,,639.02,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 100}",100,100,0.05,False,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,207.87,315.22,0.0,,,0.3249,0.3846,0.2488,0.2682,0.2234,0.2315,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,530.73,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100,100,0.1,True,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,252.58,384.73,0.0,,,0.2569,0.3195,0.1959,0.2161,0.1757,0.184,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,645.22,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100,100,0.1,True,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,252.43,384.04,0.0,,,0.1375,0.211,0.0898,0.1133,0.0742,0.0837,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,644.31,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100,100,0.1,True,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,206.18,312.13,0.0,,,0.3246,0.3851,0.2486,0.2683,0.2233,0.2315,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,526.2,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100,100,0.1,False,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,250.4,391.77,0.0,,,0.2767,0.3349,0.2137,0.2325,0.1928,0.2006,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,650.24,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100,100,0.1,False,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,254.63,380.59,0.0,,,0.1548,0.2299,0.1036,0.1277,0.0868,0.0967,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",success,,644.02,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 100}",100,100,0.1,False,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,207.8,315.37,0.0,,,0.3351,0.3954,0.2556,0.2752,0.2291,0.2373,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,530.77,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100,100,0.2,True,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,252.86,384.94,0.0,,,0.2693,0.3301,0.2059,0.2255,0.1848,0.1929,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,645.76,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100,100,0.2,True,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,252.82,384.57,0.0,,,0.1476,0.2235,0.0972,0.1216,0.0807,0.0906,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,645.17,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100,100,0.2,True,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,205.92,312.36,0.0,,,0.3354,0.3955,0.2555,0.2751,0.229,0.2371,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,526.2,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100,100,0.2,False,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,251.46,381.6,0.0,,,0.2883,0.3459,0.2232,0.2419,0.2016,0.2093,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,641.14,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100,100,0.2,False,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,251.05,381.1,0.0,,,0.1673,0.2431,0.1129,0.1373,0.0951,0.105,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",success,,640.18,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 100}",100,100,0.2,False,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,123.55,184.22,0.0,,,0.3626,0.4384,0.2689,0.2935,0.2378,0.248,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,315.68,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",100,250,0.05,True,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,146.15,218.66,0.0,,,0.3202,0.3966,0.2402,0.2649,0.2136,0.2238,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,372.77,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",100,250,0.05,True,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,146.12,217.73,0.0,,,0.2288,0.3264,0.1516,0.183,0.1262,0.1391,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,371.73,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",100,250,0.05,True,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,121.12,180.48,0.0,,,0.3605,0.4362,0.2678,0.2923,0.237,0.2472,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,309.66,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",100,250,0.05,False,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,144.02,214.49,0.0,,,0.3325,0.4066,0.2506,0.2746,0.2233,0.2332,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,366.2,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",100,250,0.05,False,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,143.49,214.23,0.0,,,0.2493,0.3418,0.1716,0.2015,0.146,0.1583,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",success,,365.39,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 250}",100,250,0.05,False,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,125.82,187.02,0.0,,,0.37,0.4469,0.2734,0.2984,0.2413,0.2517,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,320.68,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100,250,0.1,True,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,149.21,221.71,0.0,,,0.3264,0.4034,0.2447,0.2696,0.2176,0.2278,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,378.93,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100,250,0.1,True,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,148.9,221.16,0.0,,,0.2333,0.3323,0.1553,0.1871,0.1296,0.1427,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,377.92,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100,250,0.1,True,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,123.46,181.96,0.0,,,0.3668,0.4441,0.2717,0.2969,0.2402,0.2506,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,313.52,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100,250,0.1,False,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,146.03,216.76,0.0,,,0.3394,0.4135,0.2554,0.2794,0.2275,0.2374,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,370.85,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100,250,0.1,False,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,145.33,216.63,0.0,,,0.2541,0.347,0.1759,0.2059,0.1501,0.1625,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",success,,369.93,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 250}",100,250,0.1,False,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,130.28,192.51,0.0,,,0.3791,0.4553,0.279,0.3038,0.2457,0.256,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,330.62,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100,250,0.2,True,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,154.59,228.14,0.0,,,0.3342,0.4094,0.2506,0.275,0.2228,0.2329,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,390.79,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100,250,0.2,True,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,154.47,229.12,0.0,,,0.2384,0.3377,0.16,0.192,0.1342,0.1473,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,391.57,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100,250,0.2,True,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,127.34,188.43,0.0,,,0.3761,0.4531,0.2777,0.3027,0.245,0.2554,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,323.81,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100,250,0.2,False,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,151.8,223.81,0.0,,,0.3481,0.4214,0.2616,0.2853,0.2327,0.2425,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,383.55,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100,250,0.2,False,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,152.49,224.08,0.0,,,0.2597,0.3542,0.1812,0.2117,0.1553,0.1679,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",success,,384.58,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 250}",100,250,0.2,False,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,118.92,177.74,0.0,,,0.383,0.4678,0.2797,0.3073,0.2455,0.2569,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,304.79,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",100,500,0.05,True,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,139.04,206.96,0.0,,,0.3469,0.4323,0.2575,0.2851,0.2278,0.2392,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,354.18,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",100,500,0.05,True,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,139.15,207.56,0.0,,,0.2722,0.3753,0.1827,0.216,0.1533,0.1669,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,354.91,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",100,500,0.05,True,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,116.12,172.3,0.0,,,0.3823,0.4675,0.279,0.3066,0.2447,0.2562,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,296.28,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",100,500,0.05,False,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,135.49,201.48,0.0,,,0.3596,0.4421,0.2667,0.2934,0.2358,0.2468,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,344.66,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",100,500,0.05,False,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,135.02,200.91,0.0,,,0.2914,0.39,0.2029,0.2347,0.1737,0.1868,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",success,,343.56,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.05, ""vstan_sample_size"": 500}",100,500,0.05,False,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,120.54,178.22,0.0,,,0.3919,0.4774,0.2845,0.3124,0.249,0.2605,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,306.73,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100,500,0.1,True,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,140.41,209.22,0.0,,,0.3544,0.4408,0.2624,0.2903,0.2317,0.2433,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,357.8,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100,500,0.1,True,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,140.95,209.3,0.0,,,0.2776,0.3824,0.187,0.2208,0.1572,0.1711,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,358.14,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100,500,0.1,True,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,116.59,173.67,0.0,,,0.39,0.476,0.2837,0.3116,0.2484,0.26,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,298.32,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100,500,0.1,False,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,136.46,202.29,0.0,,,0.3678,0.4497,0.2717,0.2982,0.2398,0.2507,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,346.67,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100,500,0.1,False,,,,,,,,,,0.5
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,136.72,202.66,0.0,,,0.2964,0.3967,0.2077,0.2401,0.1784,0.1917,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",success,,347.47,"{""vstan_idf_weighting"": false, ""vstan_k"": 100, ""vstan_popularity_weight"": 1.0, ""vstan_position_decay"": 0.1, ""vstan_sample_size"": 500}",100,500,0.1,False,,,,,,,,,,1.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,123.8,183.35,0.0,,,0.4038,0.4897,0.2918,0.3198,0.2546,0.2663,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,314.82,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.0, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",100,500,0.2,True,,,,,,,,,,0.0
VSTAN,yoochoose_recbole_sample,cuda,1,2048,1024,145.31,214.66,0.0,,,0.3647,0.4502,0.2691,0.2968,0.2372,0.2487,"yoochoose_recbole_sample::VSTAN::{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",success,,367.71,"{""vstan_idf_weighting"": true, ""vstan_k"": 100, ""vstan_popularity_weight"": 0.5, ""vstan_position_decay"": 0.2, ""vstan_sample_size"": 500}",100,500,0.2,True,,,,,,,,,,0.5
